filename,folder,width,height,xmin,ymin,xmax,ymax,ocr_text,worth_ocr,image_path,bbox_width,bbox_height,bbox_area,aspect_ratio,area_fraction,center_x_norm,center_y_norm,margin_left,margin_top,margin_right,margin_bottom
Cars0.png,images,500,268,101.24799999999999,104.47761194029852,187.712,144.59701492537314,KLG1CA2555,1.0,content\images\Cars0.png,86.464,40.11940298507463,3468.884059701493,2.1551666666666667,0.025887194475384276,0.28896,0.4646914680329695,101.24799999999999,104.47761194029852,312.288,123.40298507462686
Cars1.png,images,400,248,75.03999999999999,115.61290322580645,146.72,144.51612903225805,PGoMN112,1.0,content\images\Cars1.png,71.68,28.9032258064516,2071.783225806451,2.4800000000000013,0.020884911550468253,0.2772,0.5244536940686785,75.03999999999999,115.61290322580645,253.28,103.48387096774195
Cars10.png,images,400,225,78.39999999999999,4.977777777777777,169.67999999999998,147.3422222222222,[NO TEXT],0.0,content\images\Cars10.png,91.27999999999999,142.36444444444442,12995.026488888885,0.6411713286713288,0.1443891832098765,0.3101,0.3384888888888889,78.39999999999999,4.977777777777777,230.32000000000002,77.6577777777778
Cars100.png,images,400,267,98.0,95.64044943820224,119.83999999999999,109.90262172284643,[NO TEXT],0.0,content\images\Cars100.png,21.83999999999999,14.262172284644194,311.48584269662905,1.531323529411764,0.0029165341076463395,0.2723,0.3849121182791173,98.0,95.64044943820224,280.16,157.09737827715355
Cars101.png,images,400,300,93.52,150.82666666666668,134.4,164.26666666666668,HR 26 BC 55I4,1.0,content\images\Cars101.png,40.88000000000001,13.439999999999998,549.4272000000001,3.041666666666668,0.004578560000000001,0.28490000000000004,0.5251555555555556,93.52,150.82666666666668,265.6,135.73333333333332
Cars102.png,images,350,263,42.24,125.20152091254754,206.08,169.49049429657796,6861136,1.0,content\images\Cars102.png,163.84,44.28897338403043,7256.305399239545,3.699340659340659,0.07883004236001678,0.3547428571428572,0.5602509794850294,42.24,125.20152091254754,143.92,93.50950570342204
Cars103.png,images,400,196,128.79999999999998,147.42857142857142,138.88,153.14285714285714,[NO TEXT],0.0,content\images\Cars103.png,10.080000000000013,5.714285714285722,57.60000000000015,1.7639999999999998,0.0007346938775510223,0.33459999999999995,0.7667638483965015,128.79999999999998,147.42857142857142,261.12,42.85714285714286
Cars103.png,images,400,196,105.83999999999999,132.57142857142858,113.11999999999999,138.28571428571428,nan,,content\images\Cars103.png,7.280000000000001,5.714285714285694,41.59999999999986,1.2740000000000047,0.0005306122448979573,0.2737,0.6909620991253645,105.83999999999999,132.57142857142858,286.88,57.71428571428572
Cars104.png,images,500,374,87.36,159.31550802139037,109.312,168.89839572192514,NL60LXB,1.0,content\images\Cars104.png,21.951999999999998,9.58288770053477,210.36355080213923,2.2907499999999974,0.0011249387743429906,0.19667199999999999,0.4387886413680689,87.36,159.31550802139037,390.688,205.10160427807486
Cars105.png,images,400,240,85.11999999999999,137.20000000000002,115.36,148.4,SBA1234A,1.0,content\images\Cars105.png,30.24000000000001,11.199999999999989,338.68799999999976,2.7000000000000037,0.0035279999999999977,0.2506,0.5950000000000001,85.11999999999999,137.20000000000002,284.64,91.6
